sample,cluster
BAL_001,2
BAL_002,1
BAL_003,2
BAL_004,1
BAL_005,1
BAL_006,1
BAL_007,1
BAL_008,1
BAL_009,3
BAL_010,1
BAL_011,3
BAL_012,3
BAL_013,3
BAL_014,1
BAL_015,1
BAL_016,3
BAL_017,1
BAL_018,1
BAL_019,4
BAL_020,3
BAL_021,3
BAL_022,3
BAL_023,4
BAL_024,1
BAL_025,2
BAL_026,3
BAL_027,3
BAL_028,1
BAL_029,3
BAL_030,2
BAL_031,2
BAL_032,4
BAL_033,3
BAL_034,4
BAL_035,1
BAL_036,2
BAL_037,2
BAL_038,3
BAL_039,1
BAL_040,1
BAL_041,2
BAL_042,3
BAL_043,1
BAL_044,3
BAL_045,1
BAL_046,3
BAL_047,2
BAL_048,1
BAL_049,1
BAL_050,2
BAL_051,3
BAL_052,1
BAL_053,1
BAL_054,3
BAL_055,1
BAL_056,2
BAL_057,1
BAL_058,1
BAL_059,1
BAL_060,1
BAL_061,3
BAL_062,3
BAL_063,1
BAL_064,2
BAL_065,3
BAL_066,2
BAL_067,1
BAL_068,4
BAL_069,4
BAL_070,4
BAL_071,1
BAL_072,1
BAL_073,3
BAL_074,3
BAL_075,4
BAL_076,4
BAL_077,4
BAL_078,4
BAL_079,3
BAL_080,1
BAL_081,1
BAL_082,3
BAL_083,3
BAL_084,2
BAL_085,1
BAL_086,2
BAL_087,4
BAL_088,2
BAL_089,1
BAL_090,2
BAL_091,1
BAL_092,1
BAL_093,2
BAL_094,1
BAL_095,2
BAL_096,2
BAL_097,1
BAL_098,1
BAL_099,4
BAL_100,1
BAL_101,4
BAL_102,1
BAL_103,2
BAL_104,1
BAL_105,4
BAL_106,4
BAL_107,1
BAL_108,1
BAL_109,1
BAL_110,1
BAL_111,1
BAL_112,1
BAL_113,3
BAL_114,1
BAL_115,1
BAL_116,1
BAL_117,2
BAL_118,2
BAL_119,1
BAL_120,1
BAL_121,1
BAL_122,1
BAL_123,1
BAL_124,3
BAL_125,1
BAL_126,2
BAL_127,1
BAL_128,1
BAL_129,3
BAL_130,1
BAL_131,2
BAL_132,3
BAL_133,3
BAL_134,1
BAL_135,2
BAL_136,2
BAL_137,1
BAL_138,1
BAL_139,3
BAL_140,2
BAL_141,2
BAL_142,3
BAL_143,2
BAL_144,3
BAL_145,4
BAL_146,1
BAL_147,1
BAL_148,1
BAL_149,2
BAL_150,1
BAL_151,1
BAL_152,4
BAL_153,1
BAL_154,2
BAL_155,2
BAL_156,1
BAL_157,1
BAL_158,1
BAL_159,1
BAL_160,3
BAL_161,4
BAL_162,3
BAL_163,1
BAL_164,3
BAL_165,3
BAL_166,3
BAL_167,1
BAL_168,3
BAL_169,1
BAL_170,2
BAL_171,1
BAL_172,2
BAL_173,1
BAL_174,1
BAL_175,2
BAL_176,2
BAL_177,1
BAL_178,1
BAL_179,1
BAL_180,2
BAL_181,2
BAL_182,1
BAL_183,2
BAL_184,4
BAL_185,2
BAL_186,2
BAL_187,2
BAL_188,1
BAL_189,2
BAL_190,2
BAL_191,3
BAL_192,1
BAL_193,2
BAL_194,1
BAL_195,1
BAL_196,4
BAL_197,1
BAL_198,4
BAL_199,1
BAL_200,4
BAL_201,1
BAL_202,1
BAL_203,2
BAL_204,3
BAL_205,2
BAL_206,1
BAL_207,1
BAL_208,1
BAL_209,1
BAL_210,1
BAL_211,2
BAL_212,2
BAL_213,2
BAL_214,2
BAL_215,2
BAL_216,2
BAL_217,2
BAL_218,3
BAL_219,2
BAL_220,2
BAL_221,4
BAL_222,2
BAL_223,1
BAL_224,1
BAL_225,3
BAL_226,1
BAL_227,2
BAL_228,1
BAL_229,1
BAL_230,2
BAL_231,4
BAL_232,4
BAL_233,3
BAL_234,1
BAL_235,1
BAL_236,2
BAL_237,4
BAL_238,4
BAL_239,1
BAL_240,2
BAL_241,1
BAL_242,4
BAL_243,1
BAL_244,4
BAL_245,1
BAL_246,1
BAL_247,1
BAL_248,1
BAL_249,2
BAL_250,1
BAL_251,2
BAL_252,1
BAL_253,1
BAL_254,2
BAL_255,1
BAL_256,4
BAL_257,1
BAL_258,2
BAL_259,2
BAL_260,1
BAL_261,1
BAL_262,1
BAL_263,2
BAL_264,2
BAL_265,2
BAL_266,1
BAL_267,4
BAL_268,1
BAL_269,2
BAL_270,1
BAL_271,2
BAL_272,1
BAL_273,2
BAL_274,1
BAL_275,1
BAL_276,2
BAL_277,1
BAL_278,1
